DefaultName,SpecTypeNIR,SpTNIR_indx,mag_upp,mag_low,Teff (K),Teff_unc (K),SexagesimalRA,SexagesimalDec,RA (deg),RA_unc (mas),Dec (deg),Dec_unc (mas),Epoch,Parallax (mas),Parallax_unc (mas),PMRA (mas/yr),PMRA_unc (mas/yr),PMDec (mas/yr),PMDec_unc (mas/yr),PlxPMRef,RUWE,#CompsInThisSystem,2MASS,WISE,Gaia,SpTNIR_ref,JMKO (mag),JMKOerr (mag),J2MASS (mag),J2MASSerr (mag),H (mag),Herr (mag),K (mag),Kerr (mag),Ks (mag),Kserr (mag),JHK_ref,2MASS_contam?,W1 (mag),W1err (mag),W2 (mag),W2err (mag),W3 (mag),W3err (mag),W4 (mag),W4err (mag),WISEphot_ref,WISE_contam?,GeneralNotes
2MASS J05103524-4208146,T5,65.0,100.0,13.8,1006,88,05 10 35.40,-42 08 05.3,77.647251,,-42.135453,,2011.12,51.39,2.64,86.98,0.55,588.34,0.39,Kirkpatrick2024,,1,2MASS J05103524-4208146,WISEA J051035.36-420808.4,,Kirkpatrick2011,15.87,0.01,16.22,0.09,16.24,0.16,,,15.85,0.02,VKK-V,,15.632,0.016,14.036,0.012,11.957,0.158,8.856,0.247,CCAA,,
ULAS J101243.54+102101.7,T5.5,65.5,100.0,13.8,799,88,10 12 43.27,+10 20 56.4,153.1806583,,10.349433,,2014.38,59.7,1.8,-405.7,1.9,-545.9,1.9,Best2020,,1,,WISEA J101243.44+102059.8,,Burningham2013,16.88,0.01,,,17.24,0.05,17.45,0.08,,,u-uu-,,16.85,0.058,14.264,0.022,12.161,0.403,8.914,,CCAA,,
WISE J200804.71-083428.5,T5.5,65.5,100.0,13.8,896,88,20 08 04.80,-08 34 29.5,302.020104,3.7,-8.574862,3.6,2016.31,57.8,3.3,304.6,1.2,-156.3,1.2,Kirkpatrick2021a,,1,2MASS J20080450-0834266,WISEA J200804.71-083428.6,,Mace2013a,16.07,0.01,16.37,0.12,16.69,0.31,,,16.31,0.04,V22-V,,15.947,0.026,14.18,0.018,12.55,,8.577,,CCAA,,
SDSS J074149.15+235127.5,T5.5,65.5,100.0,13.8,909,88,07 41 48.89,+23 51 24.4,115.453611,4.5,23.856717,4.3,2016.53,73.2,3.4,-264.1,1.6,-220.1,1.5,Kirkpatrick2021a,,1,2MASS J07414920+2351275,WISEA J074148.97+235125.2,,Burgasser2010b,15.89,0.01,16.16,0.1,16.1,0.02,16.28,0.04,15.85,,uKuu2,,15.824,0.027,14.114,0.017,11.843,,8.343,,CCAA,,
SDSSp J111010.01+011613.1,T5.5,65.5,100.0,13.8,926,18,11 10 09.77,+01 16 08.8,167.5412,,1.26996,,2008.13,52.1,1.2,-217.1,0.7,-280.8,0.7,Dupuy2012,,1,2MASS J11101001+0116130,WISEA J111009.83+011610.1,,Burgasser2006,16.16,0.01,16.34,0.12,16.2,0.02,16.05,0.03,15.93,0.05,uKuuD,,15.415,0.019,13.964,0.015,12.0,0.294,9.117,,CCAA,,
WISEPA J044853.29-193548.5,T5 pec,65.0,100.0,13.8,950,88,04 48 53.71,-19 35 43.6,72.223712,3.1,-19.595535,3.1,2016.36,57.6,3.0,901.1,0.9,761.1,0.9,Kirkpatrick2021a,,1,,WISEA J044853.30-193548.4,,Kirkpatrick2011,16.61,0.01,16.99,0.17,16.39,0.19,,,17.47,0.11,VKK-V,,16.302,0.031,14.23,0.016,12.334,,8.912,,CCAA,,
SDSS J074201.41+205520.5,T5,65.0,100.0,13.8,958,102,07 42 00.89,+20 55 15.7,115.503627,3.0,20.920997,2.9,2016.08,63.5,3.1,-327.3,0.8,-230.4,0.7,Kirkpatrick2021a,,1,2MASS J07420130+2055198,WISEA J074201.00+205516.9,,Burgasser2010b,15.76,0.01,16.19,0.09,15.95,0.03,16.06,0.03,15.23,,UKff2,,15.633,0.023,13.872,0.015,11.958,,8.822,,CCAA,,
CWISE J054025.89-180240.3,T5,65.0,100.0,13.8,982,88,05 40 25.90,-18 02 40.4,85.1080328,,-18.044503,,2014.78,59.2,4.0,-94.0,3.0,-10.3,2.3,Best2020,,1,,CWISE J054025.89-180240.3,,Kirkpatrick2021a,15.95,0.01,15.99,0.08,16.16,0.2,,,16.01,0.04,V22-V,,15.808,0.025,14.301,0.017,12.358,0.404,,,CCA-,,
2MASSI J2356547-155310,T5.5,65.5,100.0,13.8,1007,88,23 56 54.20,-15 53 23.0,359.226264,,-15.888962,,2013.55,64.78,2.26,-432.19,0.39,-605.38,0.63,Kirkpatrick2024,,1,2MASS J23565477-1553111,WISEA J235654.40-155318.7,,Burgasser2010b,15.56,0.01,15.82,0.06,15.7,0.03,15.73,0.03,15.57,0.02,VKffV,,15.574,0.028,13.83,0.022,12.168,0.376,8.921,,CCAA,,
2MASS J10073369-4555147,T5.5,65.5,100.0,13.8,1017,94,10 07 32.64,-45 55 12.3,151.8859912,,-45.9200925,,2015.4,72.64,2.8,-721.89,1.0,148.17,0.66,Smart-priv-comm,,1,2MASS J10073369-4555147,WISEA J100732.94-455512.9,,Looper2007,15.49,0.01,15.65,0.07,15.69,0.12,15.56,0.23,15.58,0.03,VKKfV,,15.608,0.021,13.875,0.012,12.206,,9.085,,CCAA,,
