target,file,x,y,obsgroup
WISE-0304,jw02473052001_02101_00001_nrcblong,1282,825,1
WISE-0304,jw02473052001_02101_00002_nrcblong,1282,825,1
WISE-0304,jw02473052001_02101_00003_nrcblong,1282,825,1
WISE-0304,jw02473052001_02101_00004_nrcblong,1282,825,1
WISE-0304,jw02473052001_02101_00005_nrcblong,1282,825,1
WISE-0304,jw02473052001_02101_00001_nrcb2,483,1722,1
WISE-0304,jw02473052001_02101_00002_nrcb2,483,1722,1
WISE-0304,jw02473052001_02101_00003_nrcb2,483,1722,1
WISE-0304,jw02473052001_02101_00004_nrcb2,483,1722,1
WISE-0304,jw02473052001_02101_00005_nrcb2,483,1722,1
WISE-0336,jw02473053001_03101_00001_nrcblong,1281,825,1
WISE-0336,jw02473053001_03101_00002_nrcblong,1281,825,1
WISE-0336,jw02473053001_03101_00003_nrcblong,1281,825,1
WISE-0336,jw02473053001_03101_00004_nrcblong,1281,825,1
WISE-0336,jw02473053001_03101_00005_nrcblong,1281,825,1
WISE-0336,jw02473053001_03101_00001_nrcb2,482,1721,1
WISE-0336,jw02473053001_03101_00002_nrcb2,482,1721,1
WISE-0336,jw02473053001_03101_00003_nrcb2,482,1721,1
WISE-0336,jw02473053001_03101_00004_nrcb2,482,1721,1
WISE-0336,jw02473053001_03101_00005_nrcb2,482,1721,1
WISE-0359,jw02473055001_03101_00001_nrcblong,1313,811,1
WISE-0359,jw02473055001_03101_00002_nrcblong,1313,811,1
WISE-0359,jw02473055001_03101_00003_nrcblong,1313,811,1
WISE-0359,jw02473055001_03101_00004_nrcblong,1313,811,1
WISE-0359,jw02473055001_03101_00005_nrcblong,1313,811,1
WISE-0359,jw02473055001_03101_00001_nrcb2,548,1691,1
WISE-0359,jw02473055001_03101_00002_nrcb2,548,1691,1
WISE-0359,jw02473055001_03101_00003_nrcb2,548,1691,1
WISE-0359,jw02473055001_03101_00004_nrcb2,548,1691,1
WISE-0359,jw02473055001_03101_00005_nrcb2,548,1691,1
WISE-0410,jw02473056001_02101_00001_nrcblong,1425,773,1
WISE-0410,jw02473056001_02101_00002_nrcblong,1425,773,1
WISE-0410,jw02473056001_02101_00003_nrcblong,1425,773,1
WISE-0410,jw02473056001_02101_00004_nrcblong,1425,773,1
WISE-0410,jw02473056001_02101_00005_nrcblong,1425,773,1
WISE-0410,jw02473056001_02101_00001_nrcb2,774,1614,1
WISE-0410,jw02473056001_02101_00002_nrcb2,774,1614,1
WISE-0410,jw02473056001_02101_00003_nrcb2,774,1614,1
WISE-0410,jw02473056001_02101_00004_nrcb2,774,1614,1
WISE-0410,jw02473056001_02101_00005_nrcb2,774,1614,1
WISE-0535,jw02473057001_03101_00001_nrcblong,1275,815,2
WISE-0535,jw02473057001_03101_00002_nrcblong,1275,815,2
WISE-0535,jw02473057001_03101_00003_nrcblong,1275,815,2
WISE-0535,jw02473057001_03101_00004_nrcblong,1275,815,2
WISE-0535,jw02473057001_03101_00005_nrcblong,1275,815,2
WISE-0535,jw02473057001_03101_00001_nrcb2,468,1703,2
WISE-0535,jw02473057001_03101_00002_nrcb2,468,1703,2
WISE-0535,jw02473057001_03101_00003_nrcb2,468,1703,2
WISE-0535,jw02473057001_03101_00004_nrcb2,468,1703,2
WISE-0535,jw02473057001_03101_00005_nrcb2,468,1703,2
WISE-0647,jw02473058001_03101_00001_nrcblong,1264,839,3
WISE-0647,jw02473058001_03101_00002_nrcblong,1264,839,3
WISE-0647,jw02473058001_03101_00003_nrcblong,1264,839,3
WISE-0647,jw02473058001_03101_00004_nrcblong,1264,839,3
WISE-0647,jw02473058001_03101_00005_nrcblong,1264,839,3
WISE-0647,jw02473058001_03101_00001_nrcb2,447,1751,3
WISE-0647,jw02473058001_03101_00002_nrcb2,447,1751,3
WISE-0647,jw02473058001_03101_00003_nrcb2,447,1751,3
WISE-0647,jw02473058001_03101_00004_nrcb2,447,1751,3
WISE-0647,jw02473058001_03101_00005_nrcb2,447,1751,3
WISE-0713,jw02473059001_03101_00001_nrcblong,1290,796,3
WISE-0713,jw02473059001_03101_00002_nrcblong,1290,796,3
WISE-0713,jw02473059001_03101_00003_nrcblong,1290,796,3
WISE-0713,jw02473059001_03101_00004_nrcblong,1290,796,3
WISE-0713,jw02473059001_03101_00005_nrcblong,1290,796,3
WISE-0713,jw02473059001_03101_00001_nrcb2,500,1662,3
WISE-0713,jw02473059001_03101_00002_nrcb2,500,1662,3
WISE-0713,jw02473059001_03101_00003_nrcb2,500,1662,3
WISE-0713,jw02473059001_03101_00004_nrcb2,500,1662,3
WISE-0713,jw02473059001_03101_00005_nrcb2,500,1662,3
WISE-0734,jw02473060001_03101_00001_nrcblong,1251,820,2
WISE-0734,jw02473060001_03101_00002_nrcblong,1251,820,2
WISE-0734,jw02473060001_03101_00003_nrcblong,1251,820,2
WISE-0734,jw02473060001_03101_00004_nrcblong,1251,820,2
WISE-0734,jw02473060001_03101_00005_nrcblong,1251,820,2
WISE-0734,jw02473060001_03101_00001_nrcb2,421,1711,2
WISE-0734,jw02473060001_03101_00002_nrcb2,421,1711,2
WISE-0734,jw02473060001_03101_00003_nrcb2,421,1711,2
WISE-0734,jw02473060001_03101_00004_nrcb2,421,1711,2
WISE-0734,jw02473060001_03101_00005_nrcb2,421,1711,2
WISE-0825,jw02473061001_03101_00001_nrcblong,1298,825,3
WISE-0825,jw02473061001_03101_00002_nrcblong,1298,825,3
WISE-0825,jw02473061001_03101_00003_nrcblong,1298,825,3
WISE-0825,jw02473061001_03101_00004_nrcblong,1298,825,3
WISE-0825,jw02473061001_03101_00005_nrcblong,1298,825,3
WISE-0825,jw02473061001_03101_00001_nrcb2,516,1722,3
WISE-0825,jw02473061001_03101_00002_nrcb2,516,1722,3
WISE-0825,jw02473061001_03101_00003_nrcb2,516,1722,3
WISE-0825,jw02473061001_03101_00004_nrcb2,516,1722,3
WISE-0825,jw02473061001_03101_00005_nrcb2,516,1722,3
WISE-0830,jw02473062001_02101_00001_nrcblong,1483,794,3
WISE-0830,jw02473062001_02101_00002_nrcblong,1483,794,3
WISE-0830,jw02473062001_02101_00003_nrcblong,1483,794,3
WISE-0830,jw02473062001_02101_00004_nrcblong,1483,794,3
WISE-0830,jw02473062001_02101_00005_nrcblong,1483,794,3
WISE-0830,jw02473062001_02101_00001_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00002_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00003_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00004_nrcb2,892,1656,3
WISE-0830,jw02473062001_02101_00005_nrcb2,892,1656,3
WISE-1738,jw02473069001_02101_00001_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00002_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00003_nrcblong,1301,852,0
WISE-1738,jw02473069001_02101_00004_nrcblong,1301,852,0
